id,KPI,Question,Weight,Job_title,Engineering_manager,Team_lead,Project_manager,Quality_control,Mentored_by,CL
1,Advanced Productivity,Leading in project planning and getting things done.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
2,Advanced Productivity,Helping improve the way the team works to increase productivity.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
3,Advanced Productivity,Solving complex problems and helping choose the right solutions.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,Yes,No
4,Advanced Productivity,Finding and using better tools and techniques for the team.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
5,Advanced Productivity,Always delivering high-quality work.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
6,Dependability,Ability to smoothly adapt to technical and administrative changes.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
7,Dependability,Ability to provide reliable estimates for tasks.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
8,Dependability,Efficiently following/ setting best practices beyond defined guidelines and yet within practical limits.,0.5,Senior Software Engineer,Yes,Yes,No,No,No,No
9,Dependability,Ability to perform effectively and efficiently with minimal supervision and/or follow-up.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
10,Dependability,Provide reusable components that abstracts problems to be used in similar cases rather than solve each problem separately.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
11,Dependability,Ability and willingness to mentor and support other team members to enrich their knowledge and experience.,0.16,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
12,Dependability,Ability to provide clear documentation for produced work.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,No,No
13,Dependability,Responding quickly when others need help or support.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,Yes,No
14,Teamwork,Working well with others and helping create a positive team environment.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
15,Teamwork,Adding valuable input to team discussions and decisions.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
16,Teamwork,Always being there to help team members when they need it.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
17,Teamwork,Constructive feedback to other team members,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
18,Teamwork,Listening to feedback and using it to improve.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
4,Advanced Productivity,Finding and using better tools and techniques for the team.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
5,Advanced Productivity,Always delivering high-quality work.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
6,Dependability,Ability to smoothly adapt to technical and administrative changes.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
7,Dependability,Ability to provide reliable estimates for tasks.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
8,Dependability,Efficiently following/ setting best practices beyond defined guidelines and yet within practical limits.,0.5,Senior Software Engineer,Yes,Yes,No,No,No,No
9,Dependability,Ability to perform effectively and efficiently with minimal supervision and/or follow-up.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
10,Dependability,Provide reusable components that abstracts problems to be used in similar cases rather than solve each problem separately.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
11,Dependability,Ability and willingness to mentor and support other team members to enrich their knowledge and experience.,0.16,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
12,Dependability,Ability to provide clear documentation for produced work.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,No,No
13,Dependability,Responding quickly when others need help or support.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,Yes,No
14,Teamwork,Working well with others and helping create a positive team environment.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
15,Teamwork,Adding valuable input to team discussions and decisions.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
16,Teamwork,Always being there to help team members when they need it.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
17,Teamwork,Constructive feedback to other team members,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
18,Teamwork,Listening to feedback and using it to improve.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
4,Advanced Productivity,Finding and using better tools and techniques for the team.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
5,Advanced Productivity,Always delivering high-quality work.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
6,Dependability,Ability to smoothly adapt to technical and administrative changes.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
7,Dependability,Ability to provide reliable estimates for tasks.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
8,Dependability,Efficiently following/ setting best practices beyond defined guidelines and yet within practical limits.,0.5,Senior Software Engineer,Yes,Yes,No,No,No,No
9,Dependability,Ability to perform effectively and efficiently with minimal supervision and/or follow-up.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
10,Dependability,Provide reusable components that abstracts problems to be used in similar cases rather than solve each problem separately.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
11,Dependability,Ability and willingness to mentor and support other team members to enrich their knowledge and experience.,0.16,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
12,Dependability,Ability to provide clear documentation for produced work.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,No,No
13,Dependability,Responding quickly when others need help or support.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,Yes,No
14,Teamwork,Working well with others and helping create a positive team environment.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
15,Teamwork,Adding valuable input to team discussions and decisions.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
16,Teamwork,Always being there to help team members when they need it.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
17,Teamwork,Constructive feedback to other team members,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
18,Teamwork,Listening to feedback and using it to improve.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
19,Teamwork,Solving any conflicts in the team in a good way.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
4,Advanced Productivity,Finding and using better tools and techniques for the team.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
5,Advanced Productivity,Always delivering high-quality work.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
6,Dependability,Ability to smoothly adapt to technical and administrative changes.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
7,Dependability,Ability to provide reliable estimates for tasks.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
8,Dependability,Efficiently following/ setting best practices beyond defined guidelines and yet within practical limits.,0.5,Senior Software Engineer,Yes,Yes,No,No,No,No
9,Dependability,Ability to perform effectively and efficiently with minimal supervision and/or follow-up.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
10,Dependability,Provide reusable components that abstracts problems to be used in similar cases rather than solve each problem separately.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
11,Dependability,Ability and willingness to mentor and support other team members to enrich their knowledge and experience.,0.16,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
12,Dependability,Ability to provide clear documentation for produced work.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,No,No
13,Dependability,Responding quickly when others need help or support.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,Yes,No
14,Teamwork,Working well with others and helping create a positive team environment.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
15,Teamwork,Adding valuable input to team discussions and decisions.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
16,Teamwork,Always being there to help team members when they need it.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
17,Teamwork,Constructive feedback to other team members,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
18,Teamwork,Listening to feedback and using it to improve.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
19,Teamwork,Solving any conflicts in the team in a good way.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
20,Extra Hats,Taking on additional roles effectively such as an epic owner or temporary engineering manager.,0.5,Senior Software Engineer,No,Yes,No,No,No,No
4,Advanced Productivity,Finding and using better tools and techniques for the team.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
5,Advanced Productivity,Always delivering high-quality work.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
6,Dependability,Ability to smoothly adapt to technical and administrative changes.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
7,Dependability,Ability to provide reliable estimates for tasks.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
8,Dependability,Efficiently following/ setting best practices beyond defined guidelines and yet within practical limits.,0.5,Senior Software Engineer,Yes,Yes,No,No,No,No
9,Dependability,Ability to perform effectively and efficiently with minimal supervision and/or follow-up.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
10,Dependability,Provide reusable components that abstracts problems to be used in similar cases rather than solve each problem separately.,0.16,Senior Software Engineer,Yes,Yes,No,No,No,No
11,Dependability,Ability and willingness to mentor and support other team members to enrich their knowledge and experience.,0.16,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
12,Dependability,Ability to provide clear documentation for produced work.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,No,No
13,Dependability,Responding quickly when others need help or support.,0.16,Senior Software Engineer,Yes,Yes,Yes,No,Yes,No
14,Teamwork,Working well with others and helping create a positive team environment.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
15,Teamwork,Adding valuable input to team discussions and decisions.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
16,Teamwork,Always being there to help team members when they need it.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
17,Teamwork,Constructive feedback to other team members,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,No,No
18,Teamwork,Listening to feedback and using it to improve.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,No
19,Teamwork,Solving any conflicts in the team in a good way.,0.5,Senior Software Engineer,Yes,Yes,No,No,Yes,Yes
20,Extra Hats,Taking on additional roles effectively such as an epic owner or temporary engineering manager.,0.5,Senior Software Engineer,No,Yes,No,No,No,No
21,Extra Hats,Leading and planning strategically in these additional (epic owner or engineering manager) roles.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
22,Extra Hats,Maintaining productivity and quality of work while handling these additional (epic owner or engineering manager) roles.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
23,Extra Hats,Achieving the assigned goals of these additional (epic owner or engineering manager) roles.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,No,No
24,Cultural Behavior,Helping others even outside their role and understanding everyone's needs.,0.5,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
25,Cultural Behavior,Taking ownership of mistakes learning from them and celebrating teammates' accomplishments.,0.5,Senior Software Engineer,Yes,Yes,Yes,No,Yes,Yes
26,Cultural Behavior,Seeking continuous learning achieving personal and team objectives and thriving in autonomous situations.,0,Senior Software Engineer,Yes,Yes,No,No,No,No
27,Cultural Behavior,Leveraging self-awareness expertise and setting an example in professional communication.,0,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
28,Cultural Behavior,Upholding the company's values and principles showing an entrepreneurial spirit and striving for excellence.,0,Senior Software Engineer,Yes,Yes,Yes,Yes,Yes,Yes
